projectid,BillingType,itemdescription,itemUnit,ItemRate,itemQuantity,ItemDate,Billable?,Chargeable?,code1,CODE2,User
14911952,Time,Landmark Legal Invoice 8775 for Service of Subpoenas,Per hour,$70.00 ,4,1/20/2017,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911960,Time,CMRRR,Per hour,$6.85 ,1,4/10/2019,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911960,Time,D's Responses Mailed to P CMRRR,Per hour,$8.05 ,1,3/21/2019,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911963,Time,efiling fees,Per hour,$0.00 ,0,7/9/2019,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911963,Time,Invoice 91157 CW for depositions of Amy Ead and Kendra Stone,Per hour,$607.20 ,1,5/13/2020,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911963,Time,Invoice No. 91157-CW,Per hour,$607.20 ,0,5/13/2020,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911963,Time,NOT PAID - ODR inv C-22-091 for mediation,Per hour,$50.00 ,1,9/23/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911963,Time,Payment of jury fee,Per hour,$0.00 ,0,1/30/2020,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911963,Time,ProDoc - Order Regarding MTWC,Per hour,$3.34 ,1,7/17/2019,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911963,Time,ProDoc Filing of MTWC,Per hour,$3.34 ,1,7/17/2019,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911966,Time,CC 7306 for Lub Diag Rad/ChartSwap Billing Records,Per hour,$50.66 ,1,12/2/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911966,Time,"Chk 31227, CHS/Bactes Bills and Records, WisemanP",Per hour,$96.13 ,1,10/7/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911966,Time,"Chk 31229, Cov Halth Plus Billing and Records, Wiseman Paula",Per hour,$25.00 ,1,10/7/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911966,Time,"Chk 31281, CMG Bills, Paula Wiseman",Per hour,$55.00 ,1,11/23/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911966,Time,"Chk 31417, Lub Radiology, MRs",Per hour,$15.00 ,1,3/17/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,NULL,Per hour,$42.75 ,1,12/31/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,AmEx 2008 to TX Dot for crash report,Per hour,$8.44 ,1,7/10/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,"Chk 31429, UMC PNS, bills and records",Per hour,$86.00 ,1,3/17/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,"Chk 31430, UMC EMS - This amount was supposed to be 49.65. Put in an additional check req for the difference of 38.65.",Per hour,$11.00 ,1,3/17/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,"Chk 31431, TTUHSC Billing ",Per hour,$21.50 ,1,3/17/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,Chk 31490 - UMC Radiology Rilms,Per hour,$11.00 ,1,4/21/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,Chk 31511 - UMC EMS records,Per hour,$38.65 ,1,4/22/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,Chk 31525 - UMC medical records,Per hour,$94.14 ,1,4/23/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,Chk 31526 - Ciox Health for Walmart RX recrds,Per hour,$50.70 ,1,4/23/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911967,Time,Chk 32175 - PT Today - MRs & Bills,Per hour,$100.00 ,1,3/10/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Certified Crash Report - ID 601CDKOY95C122,Per hour,$8.44 ,1,8/21/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Check 31221 - Ordonez treatment 08/05/2019,Per hour,$227.50 ,1,9/30/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Chk 31296 - Ordonez Treatment 09/13/2019 - 10/22/2019,Per hour,$946.40 ,1,12/10/2019,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,"Chk 31507 - Star ER, bills and records",Per hour,$35.00 ,1,4/22/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Chk 31542 - Cix Health for Walmart RX records,Per hour,$50.85 ,1,4/23/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Chk 31685 - Chartswap for TX MRI bills and records,Per hour,$40.00 ,1,8/3/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Chk 31689 - Ordonez - Treatment 12/19/2019 & 01/17/2020,Per hour,$212.80 ,1,8/14/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Chk 32122 - Landmark Legal Process Service Fee for Lindsay Burgess,Per hour,$65.00 ,1,2/9/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,Chk 32223 - Cathy Sosebee court reporters,Per hour,$117.68 ,1,5/31/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,filing fee,Per hour,$0.00 ,0,10/5/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,MC 8823 - idi Core - Donna Burgess & Danny Gill,Per hour,$25.58 ,1,7/7/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,MC 8823- Pro Doc- Motion for Continuance ,Per hour,$4.25 ,1,9/22/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,MC 8823- ProDoc- P's Designation of Experts ,Per hour,$4.25 ,1,5/27/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,MC 8823- ProDoc- Vacation Letter,Per hour,$4.25 ,1,6/7/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,MC 8823-Pro Doc- Fact Witnesses,Per hour,$4.25 ,1,6/27/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,MC 8823-Pro Doc-Order Granting Motion ,Per hour,$4.25 ,1,9/27/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,NOT PAID - Steno - Deposition of Lindsay Burgess 09/21/2021,Per hour,$450.00 ,1,8/8/2022,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,pop with jury fee,Per hour,$367.57 ,1,10/2/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,request for citation ,Per hour,$0.00 ,1,10/5/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911968,Time,VOIDED - Chk 31584 for $55.00 - TX MRI - Wrong Amount,Per hour,$0.00 ,1,6/1/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911970,Time,Filing fee in State Court,Per hour,$294.78 ,1,11/4/2019,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911970,Time,Invoice # 11445 from Caprock Court Reporters for Deposition,Per hour,$0.00 ,0,3/2/2021,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911970,Time,Mediation Expense to Kirk Crutcher,Per hour,$0.00 ,0,3/2/2021,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911972,Time,Filing Fee - Lubbock County Clerk,Per hour,$389.18 ,1,10/2/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911972,Time,filing fee for abstract,Per hour,$3.34 ,1,10/6/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911972,Time,new application and citation by posting/ sheriff fee,Per hour,$202.95 ,1,6/1/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911973,Time,Court charges for filing counter-petition,Per hour,$58.50 ,1,6/3/2020,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911973,Time,Payment for certified mail,Per hour,$6.40 ,1,6/3/2020,TRUE,TRUE,OM Other Meeting,NULL,roberthogan
14911975,Time,Chk 31689 - Dr Ordonez Treatment 03/05/2020,Per hour,$227.50 ,1,8/14/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911975,Time,"Chk 31696, Paradigm PT bills and records",Per hour,$25.00 ,1,8/20/2020,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Cash advance pending settlement check - Albert,Per hour,"$1,000.00 ",1,12/22/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Cash advance pending settlement check - Robert,Per hour,"$1,000.00 ",1,12/22/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31870 - CMC Rad Films - Albert,Per hour,$99.63 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31871 - LDR billing - Albert,Per hour,$50.66 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31872 - CMG records - Albert,Per hour,$25.00 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31873 - CMC MRs via Sharecare - Albert,Per hour,$98.25 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31875 - CMC Rad Films - Robert,Per hour,$99.63 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31876 - LDR billing via chartswap - Robert,Per hour,$50.66 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31877 - CMC MRs via Sharecare - Robert,Per hour,$98.25 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911976,Time,Chk 31878 - CMG bills and records - Robert,Per hour,$25.00 ,1,3/13/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,CM Client Meeting,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,CO Court Time,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,DR Draft/Revise,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,EC Email,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,OM Other Meeting,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,PC Phone Call,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,RR Review,NULL,roberthogan
14911979,Time,mileage res to LCDC & return,Per hour,$0.55 ,18,3/21/2021,FALSE,FALSE,TV Travel,NULL,roberthogan
14911980,Time,"Chk 32007 - Landmark Legal  Inv 11717, Service Citation of Charles Wade Barcheers",Per hour,$192.40 ,1,10/6/2021,FALSE,FALSE,CO Court Time,NULL,roberthogan
